Service_Category,Service_Type,Location_Name,Description,Website,Service_Phone,Location_Address_1,Location_Suburb,Location_State,Location_Postcode,Latitude,Longitude
Legal Assistance & Information Services,General Legal Assistance & Information,Births Death and Marriages,"Records of births, deaths and marriages. We have t",https://www.qld.gov.au/law/births-deaths-marriages-and-divorces/,13 74 68,1045 Example Street,BRISBANE CITY,QLD,4000,-27.466,153.024
Legal Assistance & Information Services,General Legal Assistance & Information,Bosscher Lawyers Pty Ltd,Bosscher Lawyers is Brisbane's leading criminal la,http://www.bosscherlawyers.com/,1300 729 316,1046 Example Street,BRISBANE,QLD,4000,-27.468,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Brisbane South Youth Justice Centre,Supervision of young people (up to 17 years of age,http://www.qld.gov.au/law/sentencing-prisons-and-probation/young-offenders-and-the-justice-system/,(07) 3406 2801,1047 Example Street,ANNERLEY,QLD,4103,-27.502,153.035
Legal Assistance & Information Services,General Legal Assistance & Information,Brisbane/Brisbane North Youth Justice Centre,Supervision of young people (up to 17 years of age,http://www.qld.gov.au/law/sentencing-prisons-and-probation/young-offenders-and-the-justice-system/,(07) 3274 9911,1048 Example Street,BOWEN HILLS,QLD,4006,-27.441,153.041
Legal Assistance & Information Services,General Legal Assistance & Information,Buiding Dispute Lawyers,We offer a discount service to senior citizens (up,http://industrylawyers.com.au,(07) 3371 3690,1049 Example Street,,,,-27.476,152.991
Legal Assistance & Information Services,General Legal Assistance & Information,Caxton Legal Centre Inc,"In operation for 40 years, Caxton Legal Centre off",http://www.caxton.org.au,(07) 3214 6333,1050 Example Street,SOUTH BRISBANE,QLD,4101,-27.474,153.013
Legal Assistance & Information Services,General Legal Assistance & Information,Centrelink Customer Service Centre - Chermside,Centrelink is delivered by the Australian Governme,http://www.humanservices.gov.au/,1800 050 004,1051 Example Street,CHERMSIDE,QLD,4032,-27.381,153.03
Legal Assistance & Information Services,General Legal Assistance & Information,Centrelink Customer Service Centre - Fortitude Valley,Centrelink is delivered by the Australian Governme,http://www.humanservices.gov.au/,1300 786 102,1052 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.033
Legal Assistance & Information Services,General Legal Assistance & Information,Child Safety After Hours Service Centre,The 24 hours statewide Child Safety After Hours Se,https://www.communities.qld.gov.au,1800 177 135,1053 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Child Safety Services - Brisbane,Our department aims to enable vulnerable Queenslan,https://www.communities.qld.gov.au,13 74 68,1054 Example Street,BRISBANE,Qld,4001,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Commission Centre - Brisbane,Legal information and referral is available via th,http://www.legalaid.qld.gov.au/,1300 651 188,1055 Example Street,BRISBANE,QLD,4000,-27.467,153.019
Legal Assistance & Information Services,General Legal Assistance & Information,Commission Centre - Inala,"Next door to Centrelink, opposite the Civic Centre",http://www.legalaid.qld.gov.au/,1300 651 188,1056 Example Street,INALA,QLD,4077,-27.601,152.974
Legal Assistance & Information Services,General Legal Assistance & Information,Commonwealth Ombudsman,The Special Adviser on taxation heads a team withi,http://www.ombudsman.gov.au,1300 362 072,1057 Example Street,BRISBANE,QLD,4000,-27.472,153.028
Legal Assistance & Information Services,General Legal Assistance & Information,Community Services - Brisbane,Our department aims to enable vulnerable Queenslan,https://www.communities.qld.gov.au,13 74 68,1058 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Corrective Services Information,Provides information regarding individuals being h,http://www.correctiveservices.qld.gov.au/Contacts/Locating_a_Prisoner/,(07) 3227 6055,1059 Example Street,BRISBANE,QLD,4000,-27.469,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Crime And Misconduct Commission - Brisbane,The CMC handles complaints about police and is equ,http://www.ccc.qld.gov.au/,(07) 3360 6060,1060 Example Street,BRISBANE,QLD,4000,-27.466,153.027
Legal Assistance & Information Services,General Legal Assistance & Information,Department of Communities Child Safety and Disability Services - Adoptions,Adoption is a way to provide a permanent family fo,https://www.communities.qld.gov.au,(07) 3224 7415,1061 Example Street,BRISBANE,Qld,4001,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Department of Communities Child Safety and Disability Services - Complaints - Brisbane,Our department aims to enable vulnerable Queenslan,https://www.communities.qld.gov.au,1800 080 464,1062 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Department of Communities Child Safety and Disability Services - Crisis Care - Brisbane,For initial inquiries relating to assistance follo,https://www.communities.qld.gov.au,(07) 3235 9999,1063 Example Street,SOUTH BRISBANE,Qld,4101,-27.474,153.015
Legal Assistance & Information Services,General Legal Assistance & Information,Department of Communities Child Safety and Disability Services - General Enquiries,Our department aims to enable vulnerable Queenslan,https://www.communities.qld.gov.au,13 74 68,1064 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Department of Communities Child Safety and Disability Services - Post Adoption Support Queensland,Adoption is a way to provide a permanent family fo,https://www.communities.qld.gov.au,(07) 3170 4600,1065 Example Street,BRISBANE,Qld,4001,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Dept Of Justice And Industrial Relations,The Department of Justice responsibilities include,http://www.justice.qld.gov.au,(07) 3239 3520,1066 Example Street,BRISBANE,QLD,4001,-27.468,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Disability Services - Brisbane,Our department aims to enable vulnerable Queenslan,https://www.communities.qld.gov.au,,1067 Example Street,BRISBANE,QLD,4000,-27.474,153.024
Legal Assistance & Information Services,General Legal Assistance & Information,Dispute Resolution Centre - Brisbane,"Provides a free, confidential, impartial non-legal",http://www.justice.qld.gov.au,1800 017 288,1068 Example Street,BRISBANE,QLD,4000,-27.467,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Environmental Defenders Office Qld Inc,The Environmental Defenders Office is a government,http://www.edoqld.org.au/,(07) 3211 4466,1069 Example Street,WEST END,QLD,4101,-27.48,153.007
Legal Assistance & Information Services,General Legal Assistance & Information,Family Counselling Legal Advice,"hen we become parents, we encounter a whole new se",http://www.parentsupportonline.com/contact.html,0452 177 264,1070 Example Street,BRISBANE,QLD,4000,-27.467,153.027
Legal Assistance & Information Services,General Legal Assistance & Information,Family Law Courts (Brisbane Registry),Family Law Registry offers assistance with counsel,http://www.familycourt.gov.au/,1300 352 000,1071 Example Street,BRISBANE,QLD,4000,-27.469,153.019
Legal Assistance & Information Services,General Legal Assistance & Information,Family Relationships Advice Line,The Family Relationship Advice Line is a national ,http://www.familyrelationships.gov.au/services/fral/pages/default.aspx,1800 050 321,1072 Example Street,BRISBANE,QLD,4000,-27.467,153.027
Legal Assistance & Information Services,General Legal Assistance & Information,Foster and Kinship Carer Card,Foster care and kinship care are forms of family-b,https://www.communities.qld.gov.au,(07) 3247 3721,1073 Example Street,BRISBANE,Qld,4001,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Guardianship and Administration Tribunal,The mission of the Guardianship and Administration,http://www.justice.qld.gov.au,(07) 3234 0666,1074 Example Street,BRISBANE CITY,QLD,4000,-27.468,153.027
Legal Assistance & Information Services,General Legal Assistance & Information,Inala Community Justice Group,We provide services in the Brisbane City Council r,,(07) 3372 8805,1075 Example Street,INALA,QLD,4077,-27.598,152.978
Legal Assistance & Information Services,General Legal Assistance & Information,Justice of the Peace Branch,Justices of the Peace (JPs) volunteer their servic,,1300 301 147,1076 Example Street,SOUTH BRISBANE,QLD,4101,-27.476,153.014
Legal Assistance & Information Services,General Legal Assistance & Information,Kg Lawyers,Australian Law Online is provided by the Australia,,1800 050 321,1077 Example Street,,QLD,4000,-27.466,153.023
Legal Assistance & Information Services,General Legal Assistance & Information,LawRight - South Brisbane,We assist people to navigate the mental health sys,http://www.lawright.org.au/,(07) 3846 6317,1078 Example Street,SOUTH BRISBANE,QLD,4101,-27.467,153.02
Legal Assistance & Information Services,General Legal Assistance & Information,Legal Aid Queensland - Brisbane,Legal Aid Queensland works with our partners to pr,http://www.legalaid.qld.gov.au,1300 651 188,1079 Example Street,BRISBANE,QLD,4001,-27.467,153.019
Legal Assistance & Information Services,General Legal Assistance & Information,Legal Aid Queensland - Inala,Legal Aid Queensland works with our partners to pr,http://www.legalaid.qld.gov.au,(07) 3362 9292,1080 Example Street,INALA,QLD,4077,-27.601,152.974
Legal Assistance & Information Services,General Legal Assistance & Information,Legal Services Commission,Purpose is to protect the rights of legal consumer,http://www.lsc.qld.gov.au,1300 655 754,1081 Example Street,BRISBANE,QLD,4000,-27.467,153.028
Legal Assistance & Information Services,General Legal Assistance & Information,Lesbian Gay Bisexual Trans Intersex Legal Service - Newstead,The LGBTI Legal Service Inc. is a community-based ,http://www.lgbtilegalservice.org,0401 936 232,1082 Example Street,NEWSTEAD,QLD,4006,-27.452,153.046
Legal Assistance & Information Services,General Legal Assistance & Information,Mental Health Court registry,The Mental Health Court decides the state of mind ,http://www.courts.qld.gov.au/contact-us/mental-health-court,(07) 3234 0703,1083 Example Street,BRISBANE CITY,QLD,4000,-27.47,153.028
Legal Assistance & Information Services,General Legal Assistance & Information,Migration Advice Service (MAS) (Brisbane),The Migration Advice Service (MAS) is an initiativ,https://www.vinnies.org.au/page/Find_Help/QLD/Resettling_in_Australia/Migration_Advice_Service/,0487 347 858,1084 Example Street,WOOLLOONGABBA,QLD,4102,-27.494,153.034
Legal Assistance & Information Services,General Legal Assistance & Information,Motor Vehicle Accident Injury Compensation Claim,If you or a friend or family member has been injur,http://www.accidentcompensationadvice.com.au/,1800 700 125,1085 Example Street,BRISBANE,QLD,4000,-27.467,153.027
Legal Assistance & Information Services,General Legal Assistance & Information,NNC - NCLS,The aim of the Nundah Community Centre is to enabl,http://www.ncsgi.com.au/,(07) 3260 6820,1086 Example Street,NUNDAH,QLD,4012,-27.401,153.06
Legal Assistance & Information Services,General Legal Assistance & Information,Nundah Community Support Group Inc - Nundah Community Legal Service,The service provides free legal advice and referra,http://www.ncsgi.com.au/,(07) 3260 6820,1087 Example Street,NUNDAH,QLD,4012,-27.401,153.06
Legal Assistance & Information Services,General Legal Assistance & Information,Office for Women,The Queensland of the future is a place where Quee,https://www.qld.gov.au/community/women/,(07) 3224 2211,1088 Example Street,BRISBANE,QLD,4000,-27.466,153.023
Legal Assistance & Information Services,General Legal Assistance & Information,Office of Fair Trading - Brisbane,The Office of Fair Trading provides advice to both,https://www.qld.gov.au/law/fair-trading/,13 74 68,1089 Example Street,BRISBANE CITY,QLD,4000,-27.469,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Office of the Director-General,The Internal Audit function operates as an indepen,https://www.communities.qld.gov.au,(07) 3235 4312,1090 Example Street,BRISBANE,QLD,4000,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Office of the Health Ombudsman,We maintain public confidence in the management of,http://www.oho.qld.gov.au/,13 36 46,1091 Example Street,BRISBANE CITY,QLD,4000,-27.469,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Office of the Public Guardian,Involuntary guardianship agency for persons identi,http://www.publicguardian.qld.gov.au,(07) 3234 0870,1092 Example Street,BRISBANE CITY,QLD,4000,-27.467,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Phillips Family Law,The Phillips Family Law team is expert and committ,http://www.phillipsfamilylaw.com.au,(07) 3007 9898,1093 Example Street,BRISBANE CITY,QLD,4000,-27.467,153.024
Legal Assistance & Information Services,General Legal Assistance & Information,Prisoners Legal Service Inc,Prisoners' Legal Service is a community legal cent,http://www.plsqld.com,(07) 3846 5074,1094 Example Street,SOUTH BRISBANE,QLD,4101,-27.473,153.015
Legal Assistance & Information Services,General Legal Assistance & Information,Public Trustee - Brisbane,The Public Trustee of Queensland is the largest tr,http://www.pt.qld.gov.au,(07) 3213 9288,1095 Example Street,BRISBANE,QLD,4000,-27.464,153.03
Legal Assistance & Information Services,General Legal Assistance & Information,QE11 Courts of Law Complex,The Mental Health Court decides the state of mind ,http://www.courts.qld.gov.au/contact-us/mental-health-court,(07) 3234 0703,1096 Example Street,BRISBANE,QLD,4000,-27.467,153.02
Legal Assistance & Information Services,General Legal Assistance & Information,QGAP,The Queensland Government Agency Program (QGAP) pr,https://www.qld.gov.au/about/contact-government/contacts/government-service-offices/,13 74 68,1097 Example Street,BRISBANE CITY,QLD,4000,-27.472,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Qld Law Society Incorporated,The Queensland Law Society conducts a referral ser,http://www.qls.com.au,(07) 3842 5888,1098 Example Street,BRISBANE,QLD,4000,-27.467,153.025
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Advocacy Inc,Queensland Advocacy Incorporated (QAI) is an indep,http://www.qai.org.au,(07) 3844 4200,1099 Example Street,SOUTH BRISBANE,QLD,4101,-27.473,153.014
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Civil and Administrative Tribunal,The Small Claims Tribunal is for any consumer or t,http://www.qcat.qld.gov.au,1300 753 228,1100 Example Street,BRISBANE,QLD,4000,-27.468,153.027
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Brisbane,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3227 7111,1101 Example Street,BRISBANE,QLD,4000,-27.468,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Office of the Commissioner,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3239 3979,1102 Example Street,BRISBANE,QLD,4000,-27.468,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Probation and Parole Office - Brisbane Central,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3406 6077,1103 Example Street,SPRING HILL,QLD,4004,-27.461,153.024
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Probation and Parole Office - Brisbane North,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3405 5411,1104 Example Street,CHERMSIDE,QLD,4032,-27.387,153.031
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Probation and Parole Office - Brisbane South,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3336 0830,1105 Example Street,GREENSLOPES,QLD,4120,-27.499,153.044
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Probation and Parole Office - Inala,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3362 9270,1106 Example Street,INALA,QLD,4077,-27.599,152.975
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Probation and Parole Office - Mount Gravatt,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3243 8500,1107 Example Street,UPPER MOUNT GRAVATT,QLD,4122,-27.558,153.081
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Corrective Services - Probation and Parole Office - Wynnum,Higher risk offenders will be given the opportunit,http://www.correctiveservices.qld.gov.au/,(07) 3362 9050,1108 Example Street,WYNNUM,QLD,4178,-27.445,153.174
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Homicide Victims Support Group,The Queensland Homicide Victims Support Group offe,,(07) 3857 4744,1109 Example Street,LUTWYCHE,QLD,4030,-27.422,153.033
Legal Assistance & Information Services,General Legal Assistance & Information,Queensland Justice of the Peace - Statewide,Justice of the Peace Queensland is a free service ,http://www.justice.qld.gov.au,1300 301 147,1110 Example Street,BRISBANE,QLD,4000,-27.467,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Refugee And Immigration Legal Service Inc,The Refugee and Immigration Legal Service (RAILS) ,http://www.rails.org.au/,(07) 3846 9300,1111 Example Street,WEST END,QLD,4101,-27.482,153.011
Legal Assistance & Information Services,General Legal Assistance & Information,Regional Intake Service Brisbane Region,If you have a reason to suspect a child in Queensl,https://www.communities.qld.gov.au,1300 682 254,1112 Example Street,SOUTH BRISBANE,QLD,4101,-27.478,153.014
Legal Assistance & Information Services,General Legal Assistance & Information,Respect Inc - Brisbane,Respect Inc - Brisbane,http://www.respectqld.org.au,(07) 3835 1111,1113 Example Street,SPRING HILL  BRISBANE,QLD,4000,-27.462,153.028
Legal Assistance & Information Services,General Legal Assistance & Information,"RFQ - Transition, Reintegration, Recovery and Support Service and Court Support Service - Annerley",Each and every person we support has their own nee,http://www.rfq.com.au/,(07) 3363 2545,1114 Example Street,ANNERLEY,QLD,4103,-27.511,153.031
Legal Assistance & Information Services,General Legal Assistance & Information,Right to Information and Information Privacy (Freedom of Information),Gives people a right to access documents held by a,http://www.rti.qld.gov.au,1800 809 078,1115 Example Street,BRISBANE,QLD,4001,-27.467,153.027
Legal Assistance & Information Services,General Legal Assistance & Information,Social Security Appeals Tribunal,Our offices are open Monday to Friday 8:30am to 5:,http://www.aat.gov.au/security,(07) 3005 6200,1116 Example Street,BRISBANE,QLD,4000,-27.467,153.026
Legal Assistance & Information Services,General Legal Assistance & Information,South West Brisbane Community Legal Centre Inc - Cairns,"The centre provides free legal advice, assistance ",http://www.clcvolunteers.net.au/clc_details.php?id=f452864a50ded11b0b7b59ed375ea720,(07) 3372 7677,1117 Example Street,INALA,QLD,4077,-27.601,152.973
Legal Assistance & Information Services,General Legal Assistance & Information,South West Brisbane Community Legal Centre Inc - Inala,The South West Brisbane CLC offers basic assistanc,http://www.communitylegal.org.au/,(07) 3372 7677,1118 Example Street,INALA,QLD,4077,-27.601,152.973
Legal Assistance & Information Services,General Legal Assistance & Information,Superannuation Guarantee Hotline,Superannuation Guarantee Hotline is provided throu,http://www.ato.gov.au/super,13 10 20,1119 Example Street,UPPER MT GRAVATT,QLD,4122,-27.562,153.084
Legal Assistance & Information Services,General Legal Assistance & Information,Tenants Queensland Inc,Tenants Queensland offers a free community based a,http://tenantsqld.org.au/,1300 744 263,1120 Example Street,,,,-27.461,153.024
Legal Assistance & Information Services,General Legal Assistance & Information,Union Legal Service - UQ,The University of Queensland (UQ) Union Legal Serv,,(07) 3377 2200,1121 Example Street,SAINT LUCIA,QLD,4072,-27.495,153.012
Legal Assistance & Information Services,General Legal Assistance & Information,Victim Assist Queensland,Information on funding for support services and re,http://www.justice.qld.gov.au/,1300 546 587,1122 Example Street,SOUTH BRISBANE,QLD,4101,-27.476,153.015
Legal Assistance & Information Services,General Legal Assistance & Information,Western Districts Youth Justice Centre,Supervision of young people (up to 17 years of age,http://www.qld.gov.au/law/sentencing-prisons-and-probation/young-offenders-and-the-justice-system/,(07) 3710 1242,1123 Example Street,FOREST LAKE,QLD,4078,-27.626,152.97
Legal Assistance & Information Services,General Legal Assistance & Information,Women's Legal Aid,Womens Legal Aid.,http://www.justice.qld.gov.au/corporate/contact-us,(07) 3239 6840,1124 Example Street,BRISBANE,QLD,4000,-27.468,153.021
Legal Assistance & Information Services,General Legal Assistance & Information,Women's Legal Service - Annerley,Our Service is reliant on the participation of vol,http://www.wlsq.org.au,1800 957 957,1125 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Legal Assistance & Information Services,General Legal Assistance & Information,Women's Legal Service - Helpline,Women's Legal Service helpline phone  ' 1800 957 9,https://www.wlsq.org.au/,1800 957 957,1126 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Legal Assistance & Information Services,General Legal Assistance & Information,"Women's Legal Service - Rural, Regional & Remote Legal Advice Line","Rural, Regional & Remote Legal Advice Line 1800 45",https://www.wlsq.org.au/,1800 457 117,1127 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Legal Assistance & Information Services,General Legal Assistance & Information,Women's Legal Service Advice Line,Women's Legal Service phone line deicated to women,http://www.wlsq.org.au/,1800 457 117,1128 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Legal Assistance & Information Services,General Legal Assistance & Information,Womens Legal Service Queensland - Annerley,Women's Legal Service is a specialist community le,http://www.wlsq.org.au/,(07) 3392 0644,1129 Example Street,ANNERLEY,QLD,4103,-27.507,153.033
Legal Assistance & Information Services,General Legal Assistance & Information,Youth Advocacy Centre,YAC's lawyers provide legal advice and representat,http://yac.net.au,(07) 3356 1002,1130 Example Street,PETRIE TERRACE,QLD,4000,-27.462,153.014
Legal Assistance & Information Services,General Legal Assistance & Information,Youth and Family Support Service,"If you have a child, aged between 10 and 16 years,",http://www.qld.gov.au/law/sentencing-prisons-and-probation/young-offenders-and-the-justice-system/,(07) 3274 9917,1131 Example Street,BOWEN HILLS,QLD,4006,-27.441,153.041
Legal Assistance & Information Services,General Legal Assistance & Information,Youth Detention Centre - Brisbane,The Brisbane Youth Detention Centre accommodates y,http://www.publicguardian.qld.gov.au,(07) 3271 0605,1132 Example Street,WACOL,QLD,4076,-27.591,152.915
Legal Assistance & Information Services,Local Advocacy Services,ADA Australia - Statewide,"QADA is a not-for-profit, independent, community b",http://www.adaaustralia.com.au,1800 818 338,1133 Example Street,GEEBUNG,QLD,4034,-27.37,153.038
Legal Assistance & Information Services,Local Advocacy Services,Inala Community Justice Group,We provide services in the Brisbane City Council r,,(07) 3372 8805,1134 Example Street,INALA,QLD,4077,-27.598,152.978
Legal Assistance & Information Services,Local Advocacy Services,M-YES Youth Mentoring Brisbane and Logan ,M-YES Inc is a youth mentoring program that provid,http://www.m-yes.org,0431 154 040,1135 Example Street,FORTITUDE VALLEY,QLD,4006,-27.454,153.034
Legal Assistance & Information Services,Local Advocacy Services,QGAP,The Queensland Government Agency Program (QGAP) pr,https://www.qld.gov.au/about/contact-government/contacts/government-service-offices/,13 74 68,1136 Example Street,BRISBANE CITY,QLD,4000,-27.472,153.025
Legal Assistance & Information Services,Local Advocacy Services,Women's Legal Service - Annerley,Our Service is reliant on the participation of vol,http://www.wlsq.org.au,1800 957 957,1137 Example Street,ANNERLEY,QLD,4103,-27.508,153.033
Self Help,General Self Help Services,Al Anon and Alateen Family Groups - Brisbane,The Al-Anon Family Groups are a fellowship of rela,http://www.al-anon.org.au/,(07) 3890 1244,1138 Example Street,TINGALPA,QLD,4173,-27.475,153.128
Self Help,General Self Help Services,Al Anon Family Groups South Queensland  Area,Al Anon helps anyone who is affected by someone el,http://www.al-anon.org,1300 252 666,1139 Example Street,BOWEN HILLS,QLD,4006,-27.444,153.038
Self Help,General Self Help Services,Alcoholics Anonymous - Brisbane Central Service Office,Alcoholics Anonymous is a fellowship of men and wo,http://www.aa.org.au/contact-central-service-offices.php#QLD,(07) 3255 9162,1140 Example Street,ANNERLEY,QLD,4103,-27.509,153.033
Self Help,General Self Help Services,Alternatives To Violence Project Queensland Incorporated,"AVP is an independant, international network of tr",http://www.avpq.org.au,(07) 3286 2593,1141 Example Street,SHERWOOD,QLD,4075,-27.531,152.983
Self Help,General Self Help Services,Applied Techniques Training - Brisbane Qld,"Family, Disability, Behaviour, Emotional Support. ",http://www.appliedtechniques.net,0447 115 928,1142 Example Street,,,,-27.565,153.064
Self Help,General Self Help Services,Arthritis Friendship Group,The Arthritis Friendship Group (formerly known as ,,(07) 3396 0196,1143 Example Street,MANLY,QLD,4179,-27.45,153.183
Self Help,General Self Help Services,Asperger Services Australia Ltd - Asperger Centre - Virginia,Maintains Support groups and a lending resource li,http://www.asperger.asn.au,(07) 3865 2911,1144 Example Street,VIRGINIA,QLD,4014,-27.375,153.058
Self Help,General Self Help Services,Aspley Classes for Seniors,Classes are provided in a number of interest areas,http://www.aspleyclassesforseniors.com/index.html,(07) 3263 4239,1145 Example Street,ASPLEY,QLD,4034,-27.364,153.018
Self Help,General Self Help Services,Australian Pain Management Association Inc.,"APMA provides a range of support to members, suppo",http://www.painmanagement.org.au,1300 340 357,1146 Example Street,,,,-27.578,153.056
Self Help,General Self Help Services,AVPQ,The Alternatives to Violence Project Qld offers lo,http://www.avpq.org.au,,1147 Example Street,,,,-27.52,152.984
Self Help,General Self Help Services,Brahma Kumaris Australia,This Brisbane Centre is a branch of Brahma Kumaris,http://brahmakumaris.org.au/,(07) 3368 2391,1148 Example Street,AUCHENFLOWER,QLD,4066,-27.471,152.998
Self Help,General Self Help Services,Brisbane Domestic Violence Advocacy Service,The Brisbane Domestic Violence Advocacy Service is,http://www.bdvs.org.au/,(07) 3217 2544,1149 Example Street,WEST END,QLD,4101,-27.481,153.012
Self Help,General Self Help Services,Brisbane Seniors OnLine Association Inc,Teaching people over the age of 50 to use computer,http://www.bsol.asn.au,(07) 3210 6983,1150 Example Street,BRISBANE,QLD,4000,-27.473,153.025
Self Help,General Self Help Services,Cancer Council 13 11 20 - Statewide,The Cancer Helpline is the specialised telephone i,http://www.cancerqld.org.au,13 11 20,1151 Example Street,FORTITUDE VALLEY,QLD,4006,-27.452,153.029
Self Help,General Self Help Services,Centacare - Family and Relationship Services,Centacare provides various relationship programs i,http://www.centacarebrisbane.net.au,1300 236 822,1152 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.038
Self Help,General Self Help Services,Centacare - Hand 1,Support for young adults with intellectual disabil,http://www.centacarebrisbane.net.au/,1300 236 822,1153 Example Street,WILSTON,QLD,4051,-27.429,153.016
Self Help,General Self Help Services,Centacare - Soubirous Place,There you go,http://www.centacarebrisbane.net.au/,1300 236 822,1154 Example Street,SUNNYBANK,QLD,4109,-27.575,153.054
Self Help,General Self Help Services,Centacare - Specialist Cleaning Service,"Domestic Hoarding and Squalor Assistance, Sorting,",http://www.centacarebrisbane.net.au/,1300 236 822,1155 Example Street,DARRA,QLD,4076,-27.571,152.964
Self Help,General Self Help Services,Centacare - Trinity,"Centre Based respite, Skill Development with Child",http://www.centacarebrisbane.net.au/,1300 236 822,1156 Example Street,INALA,QLD,4077,-27.603,152.971
Self Help,General Self Help Services,Codependents Anonymous (CoDA),"Self-help, 12 Step meetings support those wishing ",http://www.codependentsanonymous.org.au,(07) 5525 7599,1157 Example Street,BRISBANE,QLD,4000,-27.466,153.016
Self Help,General Self Help Services,Community Living Association,CLP works with young people with an intellectual d,http://www.communityliving.org.au,(07) 3266 5633,1158 Example Street,NUNDAH,QLD,4012,-27.4,153.061
Self Help,General Self Help Services,Creating Resources for Understanding Issues of Self Harm and Empowerment (CRUISE),CRUISE provides information to women who have used,,(07) 3391 2573,1159 Example Street,WOOLLOONGABBA,QLD,4102,-27.494,153.035
Self Help,General Self Help Services,Cult Information Service,The Cult Information service is a service to the c,http://www.cultinfo.org.au,(07) 3878 5212,1160 Example Street,KENMORE,QLD,4069,-27.505,152.935
Self Help,General Self Help Services,EDARC,"Providing a range of support groups, information p",http://www.eda.org.au,(07) 3394 3661,1161 Example Street,GREENSLOPES,QLD,4120,-27.507,153.051
Self Help,General Self Help Services,Emotions Anonymous,"Emotions Anonymous is a twelve-step organization, ",http://www.emotionsanonymous.org,(07) 5495 4525,1162 Example Street,BRISBANE,QLD,4000,-27.466,153.016
Self Help,General Self Help Services,GAMBLERS ANONYMOUS MEETING,An Information meeting for those who feel they may,http://gaaustralia.org.au/meetings/wynnum/?d=any&r=22&v=list&tsml-day=any&tsml-region=22&tsml-view=list,0401 717 721,1163 Example Street,BRISBANE,QLD,4000,-27.465,153.027
Self Help,General Self Help Services,Health And Relationship Coaching,Helping individuals who struggle with Health & Rel,http://healthandrelationshipcoaching.com,(07) 3191 0731,1164 Example Street,EVERTON PARK,QLD,4053,-27.407,152.991
Self Help,General Self Help Services,Hope Centre Services,HOPE CENTRE SERVICES,http://www.hopecentreservices.org,(07) 3253 1300,1165 Example Street,FORTITUDE VALLEY,QLD,4006,-27.457,153.032
Self Help,General Self Help Services,ISIS,ISIS - Centre for Women's Action on Eating Issues ,http://www.eatingissuescentre.org.au/,(07) 3844 6055,1166 Example Street,WEST END,QLD,4101,-27.483,153.007
